year,cloud-provider,cloud-region,cfe-region,em-zone-id,wt-region-id,location,geolocation,cfe-hourly,cfe-annual,power-usage-efficiency,net-carbon,grid-carbon-intensity-24x7,grid-carbon-intensity-consumption,grid-carbon-intensity-marginal,grid-carbon-intensity-production,grid-carbon-intensity
2021,Amazon Web Services,us-gov-west-1,BPA,US-NW-BPAT,BPA,GovCloud (US West),"45.5371,-122.65 ",,0.95,,,,,,,
2021,Amazon Web Services,cn-north-1,,,,China (Beijing),"39.904,116.4075 ",,,,,,,,,
2021,Amazon Web Services,cn-northwest-1,,,,China (Ningxia),"38.4795,106.2254 ",,,,,,,,,
2020,Google Cloud,asia-east1,Taiwan,TW,TW,Taiwan,"25.0375,121.5625",0.18,,,0,540,,,,540
2020,Google Cloud,asia-east2,Hong Kong,HK,HK,Hong Kong,"22.3,114.2",0,,,0,453,,,,453
2020,Google Cloud,asia-northeast1,Tokyo,JP-TK,JP_TK,Tokyo,"35.6897,139.692",0.12,,,0,554,,,,554
2020,Google Cloud,asia-northeast2,Kansai,JP-KN,JP_KN,Osaka,"34.6939,135.502",0,,,0,442,,,,442
2020,Google Cloud,asia-northeast3,South Korea,KR,KOR,Seoul,"37.56,126.99",0.31,,,0,457,,,,457
2020,Google Cloud,asia-south1,Maharashtra,IN-MH,IND,Mumbai,"19.0761,72.8775",0.12,,,0,721,,,,721
2020,Google Cloud,asia-south2,Uttar Pradesh,IN-UP,IND,Delhi,"28.6092,76.9798",0,,,0,657,,,,657
2020,Google Cloud,asia-southeast1,Singapore,SG,SGP,Singapore,"1.3,103.8",0.04,,,0,493,,,,493
2020,Google Cloud,asia-southeast2,Indonesia,ID,ID,Jakarta,"-6.2507,106.869",0,,,0,647,,,,647
2020,Google Cloud,australia-southeast1,New South Wales,AUS-NSW,NEM_NSW,Sydney,"-33.8678,151.21",0.11,,,0,727,,,,727
2020,Google Cloud,australia-southeast2,Victoria,AUS-VIC,NEM_VIC,Melbourne,"-37.8142,144.963",0,,,0,691,,,,691
2020,Google Cloud,europe-central2,Poland,PL,PL,Warsaw,"52.23,21.0111",0,,,0,622,,,,622
2020,Google Cloud,europe-north1,Belgium,BE,BE,Finland,"60.1708,24.9375",0.94,,,0,133,,,,133
2020,Google Cloud,europe-west1,Great Britain,GB,UK,Belgium,"51.1333,4.5667",0.79,,,0,212,,,,212
2020,Google Cloud,europe-west2,Germany,DE,DE,London,"51.726,-0.3",0.59,,,0,231,,,,231
2020,Google Cloud,europe-west3,Netherlands,NL,NL,Frankfurt,"50.1106,8.6822",0.63,,,0,293,,,,293
2020,Google Cloud,europe-west4,Switzerland,CH,CH,Netherlands,"51.9167,4.5",0.6,,,0,410,,,,410
2020,Google Cloud,europe-west6,North Italy,IT,IT,Zurich,"47.3744,8.5411",0,,,0,87,,,,87
2020,Google Cloud,northamerica-northeast1,Quebec,CA-QC,HQ,Montr�al,"45.5089,-73.5617",0,,,0,27,,,,27
2020,Google Cloud,southamerica-east1,Central Brazil,BR-CS,BRA,S�o Paulo,"-3.45,-68.95",0.88,,,0,103,,,,103
2020,Google Cloud,us-central1,MISO,US-MIDW-MISO,MISO_MASON_CITY,Iowa,"41.5725,-93.6105 ",0.93,,,0,454,,,,454
2020,Google Cloud,us-east1,SC,US-CAR-SC,SC,South Carolina,"34.8354,-82.3646 ",0.27,,,0,480,,,,480
2020,Google Cloud,us-east4,PJM,US-MIDA-PJM,PJM_DC,Northern Virginia,"39.1057,-77.5544 ",0.58,,,0,361,423,,,361
2020,Google Cloud,us-west1,BPA,US-NW-BPAT,BPA,Oregon,"45.5372,-122.3955 ",0.9,,,0,78,,,,78
2020,Google Cloud,us-west2,CAISO,US-CAL-CISO,LDWP,Los Angeles,"34.1141,-118.4068 ",0.54,,,0,253,,,,253
2020,Google Cloud,us-west3,PACE,US-NW-PACE,PACE,Salt Lake City,"40.7776,-111.9311 ",0.28,,,0,533,,,,533
2020,Google Cloud,us-west4,NVE,US-NW-NEVP,NEVP,Las Vegas,"35.6011,-105.2206 ",0.19,,,0,455,,,,455
2019,Google Cloud,asia-east1,Taiwan,TW,TW,Taiwan,"25.0375,121.5625",0.19,,,0,541,,,,541
2019,Google Cloud,asia-east2,Hong Kong,HK,HK,Hong Kong,"22.3,114.2",0,,,0,506,,,,506
2019,Google Cloud,asia-northeast1,Tokyo,JP-TK,JP_TK,Tokyo,"35.6897,139.692",0,,,0,569,,,,569
2019,Google Cloud,asia-northeast2,Kansai,JP-KN,JP_KN,Osaka,"34.6939,135.502",0,,,0,414,,,,414
2019,Google Cloud,asia-northeast3,South Korea,KR,KOR,Seoul,"37.56,126.99",0,,,0,490,,,,490
2019,Google Cloud,asia-south1,Maharashtra,IN-MH,IND,Mumbai,"19.0761,72.8775",0,,,0,752,,,,752
2019,Google Cloud,asia-southeast1,Singapore,SG,SGP,Singapore,"1.3,103.8",0.03,,,0,493,,,,493
2019,Google Cloud,asia-southeast2,Indonesia,ID,ID,Jakarta,"-6.2507,106.869",0,,,0,647,,,,647
2019,Google Cloud,australia-southeast1,New South Wales,AUS-NSW,NEM_NSW,Sydney,"-33.8678,151.21",0.11,,,0,725,,,,725
2019,Google Cloud,europe-north1,Victoria,AUS-VIC,NEM_VIC,Finland,"60.1708,24.9375",0.77,,,0,181,,,,181
2019,Google Cloud,europe-west1,Belgium,BE,BE,Belgium,"51.1333,4.5667",0.68,,,0,196,,,,196
2019,Google Cloud,europe-west2,Great Britain,GB,UK,London,"51.726,-0.3",0.54,,,0,257,,,,257
2019,Google Cloud,europe-west3,Germany,DE,DE,Frankfurt,"50.1106,8.6822",0.61,,,0,319,,,,319
2019,Google Cloud,europe-west4,Netherlands,NL,NL,Netherlands,"51.9167,4.5",0.61,,,0,474,,,,474
2019,Google Cloud,europe-west6,Switzerland,CH,CH,Zurich,"47.3744,8.5411",0,,,0,87,,,,87
2019,Google Cloud,northamerica-northeast1,Quebec,CA-QC,HQ,Montreal,"45.5089,-73.5617",0,,,0,27,,,,27
2019,Google Cloud,southamerica-east1,Central Brazil,BR-CS,BRA,Sao Paulo,"-3.45,-68.95",0.87,,,0,109,,,,109
2019,Google Cloud,us-central1,MISO,US-MIDW-MISO,MISO_MASON_CITY,Iowa,"41.5725,-93.6105 ",0.78,,,0,479,,,,479
2019,Google Cloud,us-east1,SC,US-CAR-SC,SC,South Carolina,"34.8354,-82.3646 ",0.19,,,0,500,,,,500
2019,Google Cloud,us-east4,PJM,US-MIDA-PJM,PJM_DC,Northern Virginia,"39.1057,-77.5544 ",0.41,,,0,383,454,,,383
2019,Google Cloud,us-west1,BPA,US-NW-BPAT,BPA,Oregon,"45.5372,-122.3955 ",0.89,,,0,117,,,,117
2019,Google Cloud,us-west2,CAISO,US-CAL-CISO,LDWP,Los Angeles,"34.1141,-118.4068 ",0.55,,,0,248,,,,248
2019,Google Cloud,us-west3,PACE,US-NW-PACE,PACE,Salt Lake City,"40.7776,-111.9311 ",0.25,,,0,561,,,,561
2019,Google Cloud,us-west4,NVE,US-NW-NEVP,NEVP,Las Vegas,"35.6011,-105.2206 ",0.13,,,0,491,,,,491
